source,etype,target,date
728286,0,1847246,2017-09-14 17:13:43
1847246,0,728286,2017-09-14 17:13:43
1847246,0,2038003,2017-09-19 22:05:33
728286,0,1847246,2017-09-20 03:38:53
1847246,0,728286,2017-09-20 03:38:53
728286,0,1847246,2017-09-20 13:13:43
728286,0,1847246,2017-09-22 03:38:53
1847246,0,728286,2017-09-23 03:38:53
1847246,0,728286,2017-09-24 03:38:53
1847246,0,728286,2017-09-26 03:38:53
1847246,0,728286,2017-09-29 03:38:53
728286,1,1847246,2017-09-14 18:32:03
728286,1,1847246,2017-09-14 20:57:33
1847246,1,728286,2017-09-18 04:33:43
1847246,1,728286,2017-09-20 12:07:03
1690582,3,1847246,2017-09-03 03:18:53
1847246,2,2038003,2017-09-20 03:38:53
